age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,native_country,income
49,Self-emp-not-inc,127921,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
27,?,194024,9th,5,Separated,?,Unmarried,Female,0,0,50,United-States,<=50K
28,Private,405793,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Male,0,0,45,United-States,>50K
27,Private,134048,11th,7,Never-married,Craft-repair,Not-in-family,Male,0,0,45,United-States,<=50K
49,Private,43910,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,30,United-States,<=50K
17,Private,141590,11th,7,Never-married,Priv-house-serv,Own-child,Female,0,0,12,United-States,<=50K
28,Private,239539,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Own-child,Male,0,0,40,Philippines,<=50K
26,Private,293690,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,58,United-States,>50K
40,Local-gov,180123,HS-grad,9,Married-spouse-absent,Farming-fishing,Own-child,Male,0,0,40,United-States,<=50K
33,Private,391114,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,United-States,<=50K
66,Federal-gov,47358,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,3471,0,40,United-States,<=50K
55,Local-gov,161662,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,United-States,>50K
38,Private,110713,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,United-States,>50K
63,Private,137843,Some-college,10,Married-civ-spouse,Sales,Husband,Male,7298,0,48,United-States,>50K
19,Local-gov,243960,Some-college,10,Never-married,Sales,Own-child,Female,0,0,16,United-States,<=50K
56,Self-emp-not-inc,125147,10th,6,Married-civ-spouse,Transport-moving,Husband,Male,0,0,60,United-States,<=50K
36,Private,193855,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
41,Local-gov,36924,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,United-States,>50K
48,?,61985,9th,5,Separated,?,Not-in-family,Female,0,0,20,United-States,<=50K
